	Oracle	FN						FNRate						
	Oracle	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
org.tasks	59	47	47	59	48	56	27	0.80	0.80	1.00	0.81	0.95	0.46
ch.hgdev.toposuite	441	0	441	441	441	441	424	0.00	1.00	1.00	1.00	1.00	0.96
net.osmand.plus	32	22	32	32	32	32	9	0.69	1.00	1.00	1.00	1.00	0.28
syncthing	19	14	-1	-1	11	11	4	0.74	-1.00	-1.00	0.58	0.58	0.21
com.oriondev.moneywallet	57	44	41	57	56	45	27	0.77	0.72	1.00	0.98	0.79	0.47
PassAndroid	15	5	3	3	8	2	3	0.33	0.20	0.20	0.53	0.13	0.20
CSipSimple	25	22	18	25	21	17	4	0.88	0.72	1.00	0.84	0.68	0.16
1Sheeld	6	6	4	4	3	4	3	1.00	0.67	0.67	0.50	0.67	0.50
Lincal	9	4	6	6	6	6	0	0.44	0.67	0.67	0.67	0.67	0.00
EteSync	20	14	-1	20	17	15	1	0.70	-1.00	1.00	0.85	0.75	0.05
com.farmerbb.taskbar	36	35	21	21	13	26	6	0.97	0.58	0.58	0.36	0.72	0.17
Conversations	56	23	-1	56	56	32	3	0.41	-1.00	1.00	1.00	0.57	0.05
AntennaPod	39	34	-1	39	33	28	16	0.87	-1.00	1.00	0.85	0.72	0.41
eu.vranckaert.worktime	60	28	22	60	32	25	18	0.47	0.37	1.00	0.53	0.42	0.30
me.blog.korn123.easydiary	25	3	25	25	25	23	4	0.12	1.00	1.00	1.00	0.92	0.16
iNaturalist	108	62	-1	-1	106	105	3	0.57	-1.00	-1.00	0.98	0.97	0.03
K9Mail	46	27	20	46	40	42	0	0.59	0.43	1.00	0.87	0.91	0.00
org.smssecure.smssecure	46	30	-1	46	36	25	9	0.65	-1.00	1.00	0.78	0.54	0.20
pt.joaomneto.titancompanion	6	2	5	6	3	0	1	0.33	0.83	1.00	0.50	0.00	0.17
SuntimesWidget	23	18	2	23	18	16	0	0.78	0.09	1.00	0.78	0.70	0.00
Simple-Solitaire	8	5	7	7	6	1	1	0.63	0.88	0.88	0.75	0.13	0.13
OpenKeychain	64	27	-1	64	50	46	7	0.42	-1.00	1.00	0.78	0.72	0.11
org.epstudios.epmobile	104	0	33	33	61	33	0	0.00	0.32	0.32	0.59	0.32	0.00
OpenGPSTracker	19	-1	7	19	14	9	0	-1.00	0.37	1.00	0.74	0.47	0.00
fr.ybo.transportsrennes	34	17	15	34	24	19	11	0.50	0.44	1.00	0.71	0.56	0.32
org.liberty.android.fantastischmemo	45	23	21	45	26	19	16	0.51	0.47	1.00	0.58	0.42	0.36
AFWall+	29	20	8	-1	24	20	1	0.69	0.28	-1.00	0.83	0.69	0.03
Padland	20	6	18	18	19	10	3	0.30	0.90	0.90	0.95	0.50	0.15
SteamGifts	13	4	7	7	11	6	0	0.31	0.54	0.54	0.85	0.46	0.00
Calendula	33	19	12	33	27	19	10	0.58	0.36	1.00	0.82	0.58	0.30
AnkiDroid	73	42	38	73	61	71	28	0.58	0.52	1.00	0.84	0.97	0.38
